country,country_code,year,health_exp,life_expect,maternal_mortality,infant_mortality,neonatal_mortality,under_5_mortality,prev_hiv,inci_tuberc,prev_undernourishment
Bahrain,BHR,2003,3.88658071,76.337,25,9.7,3.9,11.3,,37,
"Bahamas, The",BHS,2003,4.01998568,72.402,69,14.3,8.3,16.7,1.7,13,
Bosnia and Herzegovina,BIH,2003,8.31,75.782,12,7.1,5.6,8.1,,59,2.8
Belarus,BLR,2003,5.77,68.55365854,14,7.9,3.6,10.1,0.1,77,3.3
Belize,BLZ,2003,3.56305766,68.909,78,18.7,10.8,22,1.3,42,5.2
Bermuda,BMU,2003,,79.345,,,,,,5.3,
Bolivia,BOL,2003,5.19709635,63.635,251,48,27.4,63.6,0.3,168,26.5
Brazil,BRA,2003,8.18899441,70.72,69,25,15.9,28.3,0.4,53,7.6
Barbados,BRB,2003,6.69148111,74.472,45,14,9.3,15.4,1,3.7,6.1
Brunei Darussalam,BRN,2003,2.60260582,74.561,46,7.9,5,9.6,,69,
Bhutan,BTN,2003,4.1293807,64.696,222,49.9,29,65.4,0.2,201,
Botswana,BWA,2003,6.40933847,50.947,184,39.5,14.5,74.4,24.3,816,24.7
Central African Republic,CAF,2003,4.39720297,45.76,1248,103.6,41.2,156.1,6.7,540,39.7
Canada,CAN,2003,9.01090145,79.71512195,11,5.3,3.9,6.2,0.2,5.9,2.5
Central Europe and the Baltics,CEB,2003,6.389804404,73.38225278,18,9.277011936,5.699650906,10.94839011,0.108728685,,2.908293732
Switzerland,CHE,2003,10.13696766,80.53658537,9,4.5,3.4,5.3,0.2,9,2.5
Channel Islands,CHI,2003,,79.618,,,,,,,
Chile,CHL,2003,7.25047779,77.387,32,8.1,5.3,9.5,0.2,16,3
China,CHN,2003,4.41762781,73.371,43,23.5,16.8,28.9,,97,8.9
Cote d'Ivoire,CIV,2003,5.47972536,50.954,539,87.9,39.7,130,5.5,309,20.7
Cameroon,CMR,2003,3.90227985,53.883,574,81.9,34.2,134.7,5,321,19.1
"Congo, Dem. Rep.",COD,2003,3.73353338,52.827,655,99.8,37.2,145.5,1.5,327,30.9
"Congo, Rep.",COG,2003,1.91852403,55.948,587,64.3,28.7,99.6,3.8,413,26.5
Colombia,COL,2003,5.77505445,72.361,83,19.4,12.3,22.8,0.4,35,9.6
Comoros,COM,2003,6.65392351,59.258,385,65.4,38.8,89.6,0.1,37,18
Cabo Verde,CPV,2003,4.50008631,71.429,82,23.4,15.4,27.9,0.8,83,13.5
Costa Rica,CRI,2003,6.9691925,78.072,37,10,7.1,11.8,0.2,16,4.4
Caribbean small states,CSS,2003,4.671977429,68.82698278,142,23.95612134,16.73599194,28.56297432,1.18502684,,7.204837124
Cuba,CUB,2003,7.10295439,76.773,39,6.1,3.7,7.6,0.1,8.6,2.5
Curacao,CUW,2003,,73.3535122,,,,,,,
Cayman Islands,CYM,2003,,,,,,,,0,
Cyprus,CYP,2003,5.64,77.788,31,4.5,2.9,5.3,0.1,4,6.8
Czechia,CZE,2003,6.52412462,75.17073171,6,3.9,2.3,4.8,0.1,13,2.5
Germany,DEU,2003,10.40202236,78.3804878,7,4.1,2.7,5,,9.4,2.5
Djibouti,DJI,2003,4.27386999,57.595,440,74.1,41.6,92.8,,496,37.8
Dominica,DMA,2003,4.84617901,71.438,,17,15.7,18.7,,8.4,2.5
Denmark,DNK,2003,8.9,77.14390244,8,4.4,3.1,5.2,0.1,8.3,2.5
Dominican Republic,DOM,2003,4.38888264,70.265,75,30.5,22.9,37.3,1.4,68,23.7
Algeria,DZA,2003,3.60104108,71.287,153,31.6,21.1,36.9,0.1,76,6.5
East Asia & Pacific (excluding high income),EAP,2003,3.983128598,71.9405074,110,27.65641276,17.85949515,34.71714927,,185,11.9819008
Early-demographic dividend,EAR,2003,4.823001735,65.51752437,295,52.47889615,33.59603831,70.22306358,0.864934961,,18.3185691
East Asia & Pacific,EAS,2003,6.200155267,72.85620852,105,26.1,16.8,32.8,,170,10.96928743
Europe & Central Asia (excluding high income),ECA,2003,5.370721386,69.7466064,34,29.60879298,17.39818316,35.02090393,,95,7.940330804
Europe & Central Asia,ECS,2003,8.634515262,73.59989719,23,14.7,8.8,17.6,,52,3.997818257
Ecuador,ECU,2003,5.44398975,73.975,98,21.5,12,25.4,0.3,64,21.9
"Egypt, Arab Rep.",EGY,2003,5.2242527,68.402,66,32,20.3,39.4,0.1,23,5.5
Euro area,EMU,2003,9.166270162,78.65202609,8,4.22317607,2.864838783,5.214510865,0.259048458,,2.593054098
Eritrea,ERI,2003,7.33703375,59.409,619,49.8,25.7,74,1.3,299,
Spain,ESP,2003,7.56327057,79.6195122,5,4.1,2.6,5,0.4,27,2.5
Estonia,EST,2003,5.13883257,71.31707317,19,6.7,4,8.5,0.4,49,3.4
Ethiopia,ETH,2003,4.89970922,52.533,906,77,45.3,122.2,2.2,376,42.2
European Union,EUU,2003,8.999607716,77.58931055,10,5.263084328,3.447653094,6.383165216,0.216116974,,2.610613406
Fragile and conflict affected situations,FCS,2003,4.991531751,56.37671914,732,78.85854219,38.06308372,125.5973513,2.127425363,,23.004449
Finland,FIN,2003,7.94,78.36829268,7,3.3,2.2,4,,8.7,2.5
Fiji,FJI,2003,2.97298193,66.177,48,19.4,10.9,22.8,0.1,28,3.7
France,FRA,2003,10.08283424,79.11463415,9,3.6,2.6,4.9,0.3,12,2.5
Faroe Islands,FRO,2003,,78.94390244,,,,,,,
"Micronesia, Fed. Sts.",FSM,2003,9.57150459,70.76,63,30,19.6,36.7,,118,
Gabon,GAB,2003,3.53258252,61.671,223,50.2,27,78.6,5,590,13.3
United Kingdom,GBR,2003,8.05579185,78.44634146,11,5.3,3.6,6.2,,13,2.5
Georgia,GEO,2003,8.03,70.333,43,25.3,18.6,28.6,0.1,210,4.6
Ghana,GHA,2003,2.82690215,59.111,424,58.2,33.6,88.9,2.4,209,12.6
Gibraltar,GIB,2003,,79.694,,,,,,,
Guinea,GIN,2003,4.78055525,53.678,916,90.5,41.7,146.7,1.7,218,16.8
"Gambia, The",GMB,2003,5.32621098,57.586,770,56.3,38.2,99.6,1.9,191,20.4
Guinea-Bissau,GNB,2003,3.53315258,51.405,1100,95.9,52.3,156.8,4.5,342,16.3
Equatorial Guinea,GNQ,2003,1.82749987,54.581,317,98.9,44.5,142.5,4.5,187,
Greece,GRC,2003,8.44915581,78.84146341,4,4.4,2.9,5.2,0.1,6.3,2.5
Grenada,GRD,2003,5.28485727,73.188,34,12.6,7.9,14.8,,2.2,
Greenland,GRL,2003,,67.18170732,,,,,,147,
Guatemala,GTM,2003,6.15306854,68.797,145,36.9,19.7,46.2,0.4,26,19.3
Guam,GUM,2003,,76.504,,,,,,16,
Guyana,GUY,2003,3.26884198,64.6,180,34.7,25.6,43.2,0.9,103,6.2
High income,HIC,2003,10.42231751,76.52779485,16,6.3,4.1,7.5,,29,2.753511989
"Hong Kong SAR, China",HKG,2003,,81.34341463,,,,,,99,2.5
Honduras,HND,2003,6.89004707,69.507,77,27,16.3,32.6,0.7,71,20.9
Heavily indebted poor countries (HIPC),HPC,2003,4.658935759,54.21877021,684,79.33234423,37.93753602,127.3371209,3.311726645,,30.6846747
Croatia,HRV,2003,6.3,74.61390244,11,6.3,4.7,7.4,0.1,37,3.7
Haiti,HTI,2003,3.53695321,59.507,373,68.2,29.6,94,2.1,277,50.8
Hungary,HUN,2003,8.12,72.3,14,7.2,4.8,8.4,,31,2.5
IBRD only,IBD,2003,5.144838513,69.26242164,177,39.24655569,25.30111035,51.30769784,,,12.76943153
IDA & IBRD total,IBT,2003,5.048631833,66.65936923,337,52.38513836,30.37535691,74.54407807,1.126587792,,15.12702622
IDA total,IDA,2003,3.985629073,57.85609929,619,75.43968277,39.27924292,115.317438,2.231530352,,23.45082622
IDA blend,IDB,2003,3.722647339,56.60673927,656,82.32903728,43.72179541,122.8241619,,,17.83597958
Indonesia,IDN,2003,2.24837184,67.413,269,36.2,20.8,45.3,0.1,366,18
IDA only,IDX,2003,4.205187351,58.48038981,599,71.92040463,37.0098608,111.48279,2.103320851,,26.44372074
Isle of Man,IMN,2003,,76.096,,,,,,,
India,IND,2003,4.01,64.094,315,60.6,40.4,81.1,0.5,318,21.5
Not classified,INX,2003,,,,,,,,,
Ireland,IRL,2003,7.00761366,78.13902439,7,5.1,3.5,6,0.1,12,2.5
"Iran, Islamic Rep.",IRN,2003,4.95589161,69.823,41,25.3,17.4,30.3,0.1,20,5.2
Iraq,IRQ,2003,2.99693584,65.643,118,33.7,23,41.7,0.1,49,18.5
Iceland,ISL,2003,9.73,80.96341463,5,2.7,1.8,3.4,0.1,2,2.5
Israel,ISR,2003,6.86,79.64878049,5,4.9,3.1,6.1,,8.3,2.5
Italy,ITA,2003,7.83,79.98292683,9,4.1,2.9,4.8,0.2,8.7,2.5
Jamaica,JAM,2003,4.22014141,70.806,86,16.5,15.7,19.3,1.5,5.5,7
Jordan,JOR,2003,8.78901005,72.573,60,20.9,14.8,24.7,0.1,7.4,5.9
Japan,JPN,2003,7.49,81.76,8,2.9,1.6,4,,28,2.5
Kazakhstan,KAZ,2003,3.72,65.74,42,30.7,21.3,35.1,,196,7.1
Kenya,KEN,2003,4.05870771,55.601,525,50.2,24,81.1,7.3,610,34.7
Kyrgyz Republic,KGZ,2003,5.82,68.25609756,84,36.8,19.5,42.7,0.1,146,10.2
Cambodia,KHM,2003,6.93705606,62.523,464,61.7,30.1,78,1.1,539,20
Kiribati,KIR,2003,10.7,64.954,114,47.8,25.7,62.1,,377,6
St. Kitts and Nevis,KNA,2003,4.75159693,70.768,,17.6,14.6,20.8,,2.5,
"Korea, Rep.",KOR,2003,4.28309107,77.21463415,13,5.5,2.8,6.4,,83,2.6
Kuwait,KWT,2003,2.76216865,76.985,10,10.5,6.1,12.1,0.1,31,2.5
Latin America & Caribbean (excluding high income),LAC,2003,6.600839386,71.78980226,87,24.69032659,14.532073,29.54429177,0.412702102,53,9.906200651
Lao PDR,LAO,2003,4.47920704,60.031,509,68.4,35.3,94.4,0.1,293,26.8
Lebanon,LBN,2003,8.67109871,75.593,25,14.4,10,16.8,0.1,9.7,9.3
Liberia,LBR,2003,2.66176748,53.042,805,104.2,42.4,151.1,2.1,256,36.3
Libya,LBY,2003,3.97301245,71.132,52,21.9,13.6,25.5,0.1,40,4.2
St. Lucia,LCA,2003,5.24069643,71.771,67,15.9,12.2,18.1,,11,
Latin America & Caribbean,LCN,2003,6.619922897,72.03238051,86,23.9,14.1,28.5,0.416147935,51,9.900425978
Least developed countries: UN classification,LDC,2003,3.902139258,57.37184794,641,75.93543173,38.73257323,118.8524096,2.177287473,,28.82927219
Low income,LIC,2003,4.743255063,55.34490307,708,79.8,38.9,128,2.571494473,259,31.88119639
Liechtenstein,LIE,2003,,79.96097561,,,,,,,
Sri Lanka,LKA,2003,3.65,71.373,50,13,7.9,15.1,0.1,66,15.7
Lower middle income,LMC,2003,4.067152445,63.12847754,399,61.4,36.8,86.3,0.920738655,303,19.95842636
Low & middle income,LMY,2003,4.9675176,66.57747436,344,53.27070432,30.89732992,75.86422474,1.154815907,218,15.7616592
Lesotho,LSO,2003,6.04550791,44.53,610,71.4,37.1,114.9,22.9,1080,
Late-demographic dividend,LTE,2003,5.200636259,72.33253396,53,22.15797735,15.14700071,26.81513431,,,8.788347798
Lithuania,LTU,2003,6.19,72.06097561,13,7.6,4.3,9.5,0.1,88,2.5
Luxembourg,LUX,2003,6.96,77.72682927,12,3.1,1.9,3.7,0.2,14,2.5
Latvia,LVA,2003,5.48,71.26585366,34,9.7,5.8,11.9,0.3,85,2.8
"Macao SAR, China",MAC,2003,,81.501,,,,,,92,19.2
St. Martin (French part),MAF,2003,,77.206,,,,,,,
Morocco,MAR,2003,4.08037519,67.915,217,38.9,26.2,45.9,0.1,103,5.1
Monaco,MCO,2003,4.43205786,,,3.8,2.5,4.7,,0.61,
Moldova,MDA,2003,7.02,67.419,34,19.8,15.7,23.4,0.4,119,30
Madagascar,MDG,2003,5.00276518,59.491,626,59.9,28.9,91.8,0.1,273,36.6
Maldives,MDV,2003,6.78,74.06,80,22.9,15.2,27.2,0.1,57,
Middle East & North Africa,MEA,2003,4.495048569,69.79791843,95,30.5,19.7,37.6,0.1,42,7.909102091
Mexico,MEX,2003,5.81486416,74.274,52,20.9,11.3,24.7,0.3,23,4
Marshall Islands,MHL,2003,12.76533508,63.745,,33.8,18.8,41.9,,145,
Middle income,MIC,2003,4.97207621,67.59603136,282,48.75591751,29.54440932,67.03402823,,215,14.45670427
North Macedonia,MKD,2003,9.01,73.24146341,10,12.7,8.5,14.2,0.1,42,5.8
Mali,MLI,2003,5.0505991,52.893,586,93.6,46.1,169.1,1.6,73,15.4
Malta,MLT,2003,7.9,78.54634146,9,6.2,4.7,7.1,0.1,2,2.5
Myanmar,MMR,2003,2.38,60.98,316,60.4,34.7,81.9,0.8,552,33.6
Middle East & North Africa (excluding high income),MNA,2003,4.828107713,69.1311472,104,32.71531255,21.13546475,40.40968602,0.1,45,8.261412376
Montenegro,MNE,2003,,73.93173171,9,10.8,7.9,12.2,0.1,,8.4
Mongolia,MNG,2003,4.10218763,64.208,109,38.7,19.8,48.8,0.1,428,30
Northern Mariana Islands,MNP,2003,,,,,,,,79,
Mozambique,MOZ,2003,3.39533854,50.87,442,95.7,40.4,146.8,10.2,339,34.4
Mauritania,MRT,2003,4.03254652,61.347,678,55,34.7,82.7,0.6,206,8
Mauritius,MUS,2003,3.18201613,72.11707317,47,14.1,10.1,16,,14,5.5
Malawi,MWI,2003,3.32019806,48.79,445,76.7,32.8,131.8,13.1,403,24.1
Malaysia,MYS,2003,2.92417073,73.796,32,7.3,4.4,8.6,0.4,73,2.9
North America,NAC,2003,14.10714258,77.30040181,13,6.8,4.6,8,,5.9,2.5
Namibia,NAM,2003,9.91340542,51.083,451,43.1,22.1,74.4,14,1240,17.7
New Caledonia,NCL,2003,,75.27073171,,,,,,18,9.9
Niger,NER,2003,4.74740648,51.434,863,87,39.9,195.3,0.7,159,21
Nigeria,NGA,2003,5.05360985,48.441,1084,100.6,42.9,165.6,,219,8.5
Nicaragua,NIC,2003,6.08317614,67.217,166,27,14.6,32.6,0.2,54,23.4
Netherlands,NLD,2003,9.06,78.49268293,12,4.8,3.6,5.7,0.1,9.2,2.5
Norway,NOR,2003,9.19,79.3902439,5,3.6,2.4,4.4,,8.4,2.5
Nepal,NPL,2003,3.86,64.197,438,50.7,35.9,66.6,0.2,382,20.2
Nauru,NRU,2003,9.97444248,58.095,,31.9,24.9,39.3,,34,
New Zealand,NZL,2003,7.72169256,79.14634146,10,5.7,3.4,6.9,0.1,12,2.5
OECD members,OED,2003,10.46131246,77.50069327,22,9.949177032,6.039007137,11.85562593,,,3.012235489
Oman,OMN,2003,2.77524447,74.14,20,11.9,6.1,13.8,0.1,12,11.8
Other small states,OSS,2003,5.594625324,67.46446702,303,44.00182542,22.39324595,60.02675848,3.742116521,,12.68859953
Pakistan,PAK,2003,2.30006313,62.843,349,79.5,54.3,100.5,0.1,276,20.4
Panama,PAN,2003,6.95631361,75.218,62,19.7,13,23.2,0.7,63,20.1
Peru,PER,2003,4.58695936,72.217,98,23.3,13.3,30.1,0.4,146,22
Philippines,PHL,2003,3.08,69.924,125,26.6,15.9,34.5,0.1,559,17.3
Palau,PLW,2003,8.96286488,,,23.1,12.7,23.7,,53,
Papua New Guinea,PNG,2003,2.4531486,61.797,329,51.6,29.2,68,0.6,432,28
Poland,POL,2003,5.95,74.59756098,6,7,5,8.1,0.1,30,2.5
Pre-demographic dividend,PRE,2003,4.509815042,52.86205114,749,84.21540007,38.0522521,136.5760333,3.707901819,,24.98635367
Puerto Rico,PRI,2003,,76.874,20,,,,,3.5,
"Korea, Dem. People's Rep.",PRK,2003,,69.546,123,26.9,18.7,34.8,,513,32.9
Portugal,PRT,2003,9.12,77.2195122,9,4.3,2.8,5.5,0.6,44,2.5
Paraguay,PRY,2003,4.90703917,70.297,130,26.1,16.8,31.4,0.2,47,8.2
West Bank and Gaza,PSE,2003,,71.053,60,23.3,16.1,27.7,,1.3,
Pacific island small states,PSS,2003,4.704808184,67.51294611,91,23.12176623,12.36700276,27.76297125,,,6.226338613
Post-demographic dividend,PST,2003,10.69329425,77.90445624,11,5.643198739,3.712755045,6.767731324,,,2.543125403
French Polynesia,PYF,2003,,79.703,,,,,,23,3.9
Qatar,QAT,2003,3.50257182,75.565,24,9.6,5.9,11.2,0.1,43,
Romania,ROU,2003,5.37,71.3097561,48,17,9.4,20,0.1,158,2.5
Russian Federation,RUS,2003,5.16,65.02756098,42,13,7.3,16.1,,88,2.9
Rwanda,RWA,2003,6.93491793,53.368,715,81.4,35.3,133.5,4.4,100,33.8
South Asia,SAS,2003,3.643047398,64.21015504,355,62.7,42.4,83.1,0.405016234,300,20.86709496
Saudi Arabia,SAU,2003,3.97910738,73.628,20,15.9,9.6,18.5,0.1,19,5
Sudan,SDN,2003,3.89187932,58.2,598,60.7,35.3,93.2,0.1,138,
Senegal,SEN,2003,4.29703569,59.122,565,59.1,34.7,106.9,0.7,147,21.5
Singapore,SGP,2003,3.60699272,79.03902439,14,2.5,1.3,3.2,,44,
Solomon Islands,SLB,2003,7.075634,67.644,157,24.9,12.4,29.9,,79,12
Sierra Leone,SLE,2003,8.4533062,46.963,1451,130.3,47.1,208.4,1.7,313,48.8
El Salvador,SLV,2003,7.77182293,70.14,39,23.3,12.6,27.8,0.4,29,7.3
San Marino,SMR,2003,4.77200127,,,3.9,2,4.1,,4.1,
Somalia,SOM,2003,,50.614,1094,104,45.5,171.9,,285,70.1
Serbia,SRB,2003,7.66696072,72.43658537,14,9.1,6.5,10.6,0.1,,3
Sub-Saharan Africa (excluding high income),SSA,2003,5.500420234,52.35972821,736,82.43751525,37.40688054,134.3457898,5.455953479,356,24.845442
South Sudan,SSD,2003,,50.253,1404,95.4,52.4,155.8,2.5,,
Sub-Saharan Africa,SSF,2003,5.499853926,52.36182146,745,82.4,37.4,134.4,5.455953479,356,24.84276986
Small states,SST,2003,5.373936788,67.70451191,242,37.28240808,19.79159837,49.56689952,2.911484881,,10.91850047
Sao Tome and Principe,STP,2003,12.6639061,63.166,166,45,20.9,65.6,2,125,12.2
Suriname,SUR,2003,4.88878393,65.596,250,24.9,17,28.1,1.3,27,10.4
Slovak Republic,SVK,2003,5.45,73.60487805,8,7.4,4.3,8.8,0.1,21,6.1
Slovenia,SVN,2003,8.1,76.85853659,9,3.9,2.8,4.7,0.1,16,2.5
Sweden,SWE,2003,8.32,80.09512195,6,3.2,2.1,3.9,,5.1,2.5
Eswatini,SWZ,2003,6.37864399,43.349,660,71.6,29.2,119.8,26.1,1270,8.4
Sint Maarten (Dutch part),SXM,2003,,74.148,,,,,,,
Seychelles,SYC,2003,5.08738041,71.02926829,34,11.8,8.7,13.8,,13,2.6
Syrian Arab Republic,SYR,2003,5.11781693,72.414,24,17.7,11.2,20.8,0.1,35,6.9
Turks and Caicos Islands,TCA,2003,,75.411,,6.5,5,9.3,,32,
Chad,TCD,2003,5.50940943,48.206,1255,95.4,41.3,173.9,1.9,152,37.7
East Asia & Pacific (IDA & IBRD countries),TEA,2003,3.98352579,71.97170862,110,27.6662794,17.84855372,34.71600668,,,11.70862878
Europe & Central Asia (IDA & IBRD countries),TEC,2003,5.456118629,68.77705561,34,22.94211259,13.42558241,27.3142106,,,5.423045936
Togo,TGO,2003,2.93837667,55.639,458,69.8,34.3,109.4,3.7,60,30.1
Thailand,THA,2003,3.24312782,73.155,40,15.5,10,18.1,2,240,15.2
Tajikistan,TJK,2003,4.7,65.552,49,54.2,24.8,65.3,0.1,215,41.4
Turkmenistan,TKM,2003,5.0367589,65.746,20,49,27.8,58.3,,116,5.1
Latin America & the Caribbean (IDA & IBRD countries),TLA,2003,6.622970671,71.89341073,87,24.06837681,14.20357934,28.76430007,0.422190378,,10.05831631
Timor-Leste,TLS,2003,2.84187031,60.871,650,76.8,34.4,96.6,0.1,498,33
Middle East & North Africa (IDA & IBRD countries),TMN,2003,4.828107713,69.11102247,104,32.87607681,21.22144413,40.62670094,0.1,,8.261412376
Tonga,TON,2003,3.43583083,69.495,94,13.4,6.6,15.5,,18,
South Asia (IDA & IBRD),TSA,2003,3.643047398,64.21015504,352,62.70245111,42.37009094,83.14716353,0.405016234,,20.86709496
Sub-Saharan Africa (IDA & IBRD countries),TSS,2003,5.499853926,52.36182146,736,82.43401684,37.4054588,134.3398196,5.455953479,,24.84276986
Trinidad and Tobago,TTO,2003,4.18767118,69.729,65,23.8,17.2,26.8,1.4,13,10.7
Tunisia,TUN,2003,5.20888519,74.305,60,20.4,15.1,24.1,0.1,25,4.2
Turkiye,TUR,2003,5.01,72.89,28,25,14.7,30,,31,4.6
Tuvalu,TUV,2003,14.38950729,63.631,,32.3,23.5,39.8,,367,
Tanzania,TZA,2003,5.34231472,54.895,625,65.1,29.5,105.6,6.6,510,32
Uganda,UGA,2003,4.29918194,50.368,449,74.7,30.2,123.2,6.8,248,18.2
Ukraine,UKR,2003,6.55,68.21073171,25,13.7,9.4,15.9,,126,2.5
Upper middle income,UMC,2003,5.234739872,71.7264259,86,25.3,15.9,31.3,,133,9.376383275
Uruguay,URY,2003,9.61753464,75.785,22,13.6,8,15.8,0.3,23,2.9
United States,USA,2003,14.50551128,77.03658537,13,6.9,4.6,8.1,,5.9,2.5
Uzbekistan,UZB,2003,5.19,67.04,43,44.7,25.7,52.6,,117,18.8
St. Vincent and the Grenadines,VCT,2003,3.95764542,72.352,61,19.6,13.1,22.4,,15,9.8
"Venezuela, RB",VEN,2003,,71.94,109,16.9,10,19.8,0.5,33,13.8
British Virgin Islands,VGB,2003,,73.986,,13.9,8.7,16.2,,5.2,
Virgin Islands (U.S.),VIR,2003,,77.52195122,,,,,,,
Viet Nam,VNM,2003,3.94229889,72.98,70,21.1,13.2,26.6,0.3,278,16.1
Vanuatu,VUT,2003,3.50691938,69.276,97,23.4,11.7,27.9,,69,6.9
World,WLD,2003,9.505810218,68.57179957,312,48.1,28,68.4,0.7,180,12.9
Samoa,WSM,2003,4.17237139,71.496,64,16.8,7.9,19.6,,17,2.9
Kosovo,XKX,2003,,74.968,,32.6,22.9,36.6,,,
"Yemen, Rep.",YEM,2003,5.75758314,64.541,222,58.8,34.1,79.4,0.1,95,25.7
South Africa,ZAF,2003,7.04098177,54.331,205,49.7,15.7,76.3,15,1070,3.6
Zambia,ZMB,2003,5.99553585,48.284,308,74.2,32,126.6,14.2,662,50.2
Zimbabwe,ZWE,2003,,43.393,534,50.5,29.9,90.3,19.8,617,31.5
Aruba,ABW,2004,,73.576,,,,,,10,
Africa Eastern and Southern,AFE,2004,6.115127588,53.55188238,617,73.02653975,34.24475093,115.1142342,6.374821441,,31.22153124
Afghanistan,AFG,2004,9.80847359,57.944,1115,80.9,57.5,114,0.1,189,35.9
Africa Western and Central,AFW,2004,4.439720466,51.7847675,859,88.3068568,39.55474587,147.6490081,,,14.52055767
Angola,AGO,2004,3.96719909,50.592,594,104.9,44.7,173.7,1.6,350,55.1
Albania,ALB,2004,5.89364862,76.376,11,19.1,10.9,21.4,0.1,20,8.6
Andorra,AND,2004,5.28846931,,,5.6,2.8,6.2,,11,
Arab World,ARB,2004,3.720016666,67.76178998,219,38.51231213,23.24554236,52.1855642,0.104213282,,11.03963138
United Arab Emirates,ARE,2004,2.46204329,76.453,13,7.8,5.5,10,0.1,2.4,6.8
Argentina,ARG,2004,7.22868252,74.855,73,15.4,9.6,17.3,0.3,34,3.9
Armenia,ARM,2004,6.06,71.421,42,22.3,13.1,25.1,0.1,69,16
American Samoa,ASM,2004,,,,,,,,10,
Antigua and Barbuda,ATG,2004,5.11667967,75.672,43,11.2,9,13.6,,5.4,
Australia,AUS,2004,8.08708572,80.4902439,5,4.8,3.3,5.8,0.1,6.1,2.5
Austria,AUT,2004,9.71,79.1804878,5,4.2,2.9,5.1,,13,2.5
Azerbaijan,AZE,2004,2.66,67.346,47,47.1,28.4,55.8,0.1,80,7.4
Burundi,BDI,2004,7.09572744,52.01,740,81.9,34.4,131.1,2.3,211,
Belgium,BEL,2004,9.32808781,78.87804878,7,4.3,2.7,5.2,0.1,12,2.5
Benin,BEN,2004,3.23273873,56.826,520,77.9,36.1,123.9,1.4,75,12.8
Burkina Faso,BFA,2004,4.21720934,52.416,438,82.9,36.9,158.5,1.5,65,17.7
Bangladesh,BGD,2004,1.99854314,67.187,372,51.7,37.5,68.2,0.1,221,13.8
Bulgaria,BGR,2004,6.89,72.56341463,15,11.8,6.4,14.2,0.1,49,5.1
Bahrain,BHR,2004,3.49817729,76.56,22,9.4,3.7,11,,32,
"Bahamas, The",BHS,2004,4.04628181,72.478,72,14.4,8.5,16.8,1.7,18,
Bosnia and Herzegovina,BIH,2004,9.06,76.133,11,6.8,5.4,7.7,,78,2.5
Belarus,BLR,2004,5.74,68.95609756,11,7.3,3.4,9.4,0.1,71,3.4
Belize,BLZ,2004,3.44779563,69.227,80,18.3,10.4,21.4,1.3,35,5.1
Bermuda,BMU,2004,,81.12,,,,,,11,
Bolivia,BOL,2004,4.86315727,64.004,236,45.6,26.9,59.9,0.3,163,27.1
Brazil,BRA,2004,8.12491989,71.131,70,23.5,15,26.4,0.4,54,6.6
Barbados,BRB,2004,7.31297731,74.727,43,14.1,9.5,15.4,1,8.2,5.7
Brunei Darussalam,BRN,2004,2.55193377,74.65,46,7.9,5,9.5,,60,
Bhutan,BTN,2004,4.59777308,65.268,197,47.1,28,61.2,0.2,190,
Botswana,BWA,2004,6.09125996,51.617,196,41,16.8,73.6,23.9,773,23.9
Central African Republic,CAF,2004,4.30442286,46.038,1217,101.8,40.6,152.5,6.3,540,39.6
Canada,CAN,2004,9.06628132,79.99219512,11,5.3,3.9,6.1,0.2,5.5,2.5
Central Europe and the Baltics,CEB,2004,6.351356529,73.73043493,17,8.90048878,5.426326512,10.47520949,0.110103477,,2.889887134
Switzerland,CHE,2004,10.22576523,81.08780488,9,4.4,3.3,5.2,0.2,8.6,2.5
Channel Islands,CHI,2004,,80.125,,,,,,,
Chile,CHL,2004,6.91028547,77.616,29,7.9,5.4,9.3,0.2,19,3.1
China,CHN,2004,4.29347467,73.748,49,21.4,15.3,26.3,,94,8.1
Cote d'Ivoire,CIV,2004,5.47516584,51.363,536,85.7,39.1,126.1,5.2,288,20
Cameroon,CMR,2004,3.72798967,54.178,556,79.9,33.9,131.3,4.9,318,17.4
"Congo, Dem. Rep.",COD,2004,4.33564186,53.426,643,97.5,36.7,140.9,1.5,327,31.8
"Congo, Rep.",COG,2004,1.92152369,56.986,541,60.5,27.7,93,3.7,423,27.8
Colombia,COL,2004,5.79892111,72.695,82,18.9,12,22.2,0.4,33,10.4
Comoros,COM,2004,6.58027744,59.48,374,63.8,38.2,87.1,0.1,36,16.6
Cabo Verde,CPV,2004,4.37710667,71.999,74,22.9,15.5,27.3,0.8,77,11.6
Costa Rica,CRI,2004,6.63006067,78.331,32,9.9,7.1,11.5,0.2,21,4
Caribbean small states,CSS,2004,4.789292492,69.17036542,137,23.48816351,16.53970517,27.91765034,1.221969837,,7.01732187
Cuba,CUB,2004,6.83178711,76.912,41,5.9,3.5,7.4,0.2,8,2.5
Curacao,CUW,2004,,73.42892683,,,,,,,
Cayman Islands,CYM,2004,,,,,,,,2.5,
Cyprus,CYP,2004,5.41,77.944,32,4.2,2.7,5,0.1,3.4,7.6
Czechia,CZE,2004,6.35071039,75.72195122,6,3.7,2.3,4.6,0.1,12,2.5
Germany,DEU,2004,10.14603233,78.6804878,7,4,2.6,4.8,,8.3,2.5
Djibouti,DJI,2004,3.53825521,57.759,394,72.5,41.1,90.4,,445,34
Dominica,DMA,2004,4.74520159,72.401,,17.5,16.3,19.2,,10,2.5
